Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,TotalPillar1,TotalPillar2
20200228,S12000005,Clackmannanshire,0,0,0,0,0,0,13,25.2231276678308,7,0,0,7,0
20200228,S12000006,Dumfries & Galloway,0,0,0,0,0,0,21,14.1072148327287,9,0,0,9,0
20200228,S12000008,East Ayrshire,0,0,0,0,0,0,8,6.5568396033112,1,0,0,1,0
20200228,S12000010,East Lothian,0,0,0,0,0,0,12,11.2055280605099,7,0,0,7,0
20200228,S12000011,East Renfrewshire,0,0,0,0,0,0,7,7.32754108656966,3,0,0,3,0
20200228,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988,2,0,0,2,0
20200228,S12000014,Falkirk,0,0,0,0,0,0,24,14.9170240537013,14,0,0,14,0
20200228,S12000017,Highland,0,0,0,0,0,0,30,12.721027859051,5,0,0,5,0
20200228,S12000018,Inverclyde,0,0,0,0,0,0,8,10.2827763496144,0,0,0,0,0
20200228,S12000019,Midlothian,0,0,0,0,0,0,15,16.2232316677482,1,0,0,1,0
20200228,S12000020,Moray,0,0,0,0,0,0,10,10.436234606554,3,0,0,3,0
20200228,S12000021,North Ayrshire,0,0,0,0,0,0,14,10.3903814754342,6,0,0,6,0
20200228,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493,0,0,0,0,0
20200228,S12000026,Scottish Borders,0,0,0,0,0,0,26,22.5088736905896,2,0,0,2,0
20200228,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
20200228,S12000028,South Ayrshire,0,0,0,0,0,0,3,2.6640618062339,2,0,0,2,0
20200228,S12000029,South Lanarkshire,0,0,0,0,0,0,24,7.48759866471157,2,0,0,2,0
20200228,S12000030,Stirling,0,0,0,0,0,0,20,21.2291688780384,7,0,0,7,0
20200228,S12000033,Aberdeen City,0,0,0,0,0,0,37,16.1805221498229,0,0,0,0,0
20200228,S12000034,Aberdeenshire,0,0,0,0,0,0,35,13.3991807358064,6,0,0,6,0
20200228,S12000035,Argyll & Bute,0,0,0,0,0,0,3,3.49365319669268,0,0,0,0,0
20200228,S12000036,City of Edinburgh,0,0,0,0,0,0,126,24.0032004267236,37,0,0,37,0
20200228,S12000038,Renfrewshire,0,0,0,0,0,0,15,8.37520938023451,4,0,0,4,0
20200228,S12000039,West Dunbartonshire,0,0,0,0,0,0,7,7.87135949623299,0,0,0,0,0
20200228,S12000040,West Lothian,0,0,0,0,0,0,28,15.2921900600765,4,0,0,4,0
20200228,S12000041,Angus,1,1,0.860585197934596,0,0,0,26,22.3752151462995,2,2,100,2,0
20200228,S12000042,Dundee City,0,0,0,0,0,0,20,13.39405304045,3,0,0,3,0
20200228,S12000045,East Dunbartonshire,0,0,0,0,0,0,10,9.20471281296023,2,0,0,2,0
20200228,S12000047,Fife,0,0,0,0,0,0,65,17.4006157140945,16,0,0,16,0
20200228,S12000048,Perth & Kinross,0,0,0,0,0,0,33,21.7176702862784,1,0,0,1,0
20200228,S12000049,Glasgow City,0,0,0,0,0,0,72,11.3722517058378,19,0,0,19,0
20200228,S12000050,North Lanarkshire,0,0,0,0,0,0,33,9.66693031022058,8,0,0,8,0
20200229,S12000005,Clackmannanshire,0,0,0,0,0,0,13,25.2231276678308,0,0,0,0,0
20200229,S12000006,Dumfries & Galloway,0,0,0,0,0,0,28,18.8096197769717,6,0,0,6,0
20200229,S12000008,East Ayrshire,0,0,0,0,0,0,9,7.37644455372511,1,0,0,1,0
20200229,S12000010,East Lothian,0,0,0,0,0,0,14,13.0731160705948,1,0,0,1,0
20200229,S12000011,East Renfrewshire,0,0,0,0,0,0,7,7.32754108656966,0,0,0,0,0
20200229,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988,0,0,0,0,0
20200229,S12000014,Falkirk,0,0,0,0,0,0,31,19.2678227360308,13,0,0,13,0
20200229,S12000017,Highland,0,0,0,0,0,0,33,13.9931306449561,4,0,0,4,0
20200229,S12000018,Inverclyde,0,0,0,0,0,0,9,11.5681233933162,1,0,0,1,0
20200229,S12000019,Midlothian,0,0,0,0,0,0,15,16.2232316677482,0,0,0,0,0
20200229,S12000020,Moray,0,0,0,0,0,0,11,11.4798580672094,4,0,0,4,0
20200229,S12000021,North Ayrshire,0,0,0,0,0,0,16,11.8747216862105,2,0,0,2,0
20200229,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493,0,0,0,0,0
20200229,S12000026,Scottish Borders,0,0,0,0,0,0,28,24.2403255129426,3,0,0,3,0
20200229,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
20200229,S12000028,South Ayrshire,0,0,0,0,0,0,4,3.55208240831187,1,0,0,1,0
20200229,S12000029,South Lanarkshire,0,0,0,0,0,0,28,8.73553177549683,4,0,0,4,0
20200229,S12000030,Stirling,0,0,0,0,0,0,24,25.4750026536461,5,0,0,5,0
20200229,S12000033,Aberdeen City,0,0,0,0,0,0,37,16.1805221498229,0,0,0,0,0
20200229,S12000034,Aberdeenshire,0,0,0,0,0,0,38,14.5476819417327,2,0,0,2,0
20200229,S12000035,Argyll & Bute,0,0,0,0,0,0,3,3.49365319669268,1,0,0,1,0
20200229,S12000036,City of Edinburgh,0,0,0,0,0,0,128,24.3842036081001,2,0,0,2,0
20200229,S12000038,Renfrewshire,0,0,0,0,0,0,17,9.49190396426577,3,0,0,3,0
20200229,S12000039,West Dunbartonshire,0,0,0,0,0,0,7,7.87135949623299,0,0,0,0,0
20200229,S12000040,West Lothian,0,0,0,0,0,0,29,15.8383397050792,1,0,0,1,0
20200229,S12000041,Angus,0,1,0.860585197934596,0,0,0,26,22.3752151462995,0,0,0,0,0
20200229,S12000042,Dundee City,0,0,0,0,0,0,21,14.0637556924725,1,0,0,1,0
20200229,S12000045,East Dunbartonshire,0,0,0,0,0,0,13,11.9661266568483,6,0,0,6,0
20200229,S12000047,Fife,0,0,0,0,0,0,70,18.7391246151787,5,0,0,5,0
20200229,S12000048,Perth & Kinross,0,0,0,0,0,0,33,21.7176702862784,0,0,0,0,0
20200229,S12000049,Glasgow City,0,0,0,0,0,0,86,13.5835228708618,20,0,0,20,0
20200229,S12000050,North Lanarkshire,0,0,0,0,0,0,37,10.8386794387322,6,0,0,6,0
20200301,S12000005,Clackmannanshire,1,1,1.94024058983314,0,0,0,14,27.1633682576639,2,1,50,2,0
20200301,S12000006,Dumfries & Galloway,0,0,0,0,0,0,32,21.496708316539,4,0,0,4,0
20200301,S12000008,East Ayrshire,0,0,0,0,0,0,13,10.6548643553807,4,0,0,4,0
20200301,S12000010,East Lothian,0,0,0,0,0,0,15,14.0069100756373,1,0,0,1,0
20200301,S12000011,East Renfrewshire,0,0,0,0,0,0,11,11.5147074217523,4,0,0,4,0
20200301,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988,0,0,0,0,0
20200301,S12000014,Falkirk,0,0,0,0,0,0,32,19.889365404935,2,0,0,2,0
20200301,S12000017,Highland,0,0,0,0,0,0,33,13.9931306449561,0,0,0,0,0
20200301,S12000018,Inverclyde,0,0,0,0,0,0,12,15.4241645244216,3,0,0,3,0
20200301,S12000019,Midlothian,0,0,0,0,0,0,16,17.3047804455981,2,0,0,2,0
20200301,S12000020,Moray,1,1,1.0436234606554,0,0,0,13,13.5671049885201,5,2,40,5,0
20200301,S12000021,North Ayrshire,0,0,0,0,0,0,18,13.3590618969868,2,0,0,2,0
20200301,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493,0,0,0,0,0
20200301,S12000026,Scottish Borders,0,0,0,0,0,0,30,25.9717773352956,4,0,0,4,0
20200301,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
20200301,S12000028,South Ayrshire,0,0,0,0,0,0,5,4.44010301038984,1,0,0,1,0
20200301,S12000029,South Lanarkshire,0,0,0,0,0,0,31,9.67148160858578,3,0,0,3,0
20200301,S12000030,Stirling,0,0,0,0,0,0,26,27.59791954145,4,0,0,4,0
20200301,S12000033,Aberdeen City,0,0,0,0,0,0,40,17.4924563781869,4,0,0,4,0
20200301,S12000034,Aberdeenshire,0,0,0,0,0,0,39,14.9305156770415,2,0,0,2,0
20200301,S12000035,Argyll & Bute,0,0,0,0,0,0,4,4.6582042622569,1,0,0,1,0
20200301,S12000036,City of Edinburgh,0,0,0,0,0,0,139,26.4797211056712,14,0,0,14,0
20200301,S12000038,Renfrewshire,0,0,0,0,0,0,23,12.8419877163596,6,0,0,6,0
20200301,S12000039,West Dunbartonshire,0,0,0,0,0,0,8,8.99583942426628,1,0,0,1,0
20200301,S12000040,West Lothian,0,0,0,0,0,0,31,16.9306389950847,2,0,0,2,0
20200301,S12000041,Angus,0,1,0.860585197934596,0,0,0,28,24.0963855421687,3,0,0,3,0
20200301,S12000042,Dundee City,0,0,0,0,0,0,21,14.0637556924725,0,0,0,0,0
20200301,S12000045,East Dunbartonshire,0,0,0,0,0,0,15,13.8070692194404,2,0,0,2,0
20200301,S12000047,Fife,0,0,0,0,0,0,71,19.0068263953955,2,0,0,2,0
20200301,S12000048,Perth & Kinross,0,0,0,0,0,0,33,21.7176702862784,0,0,0,0,0
20200301,S12000049,Glasgow City,0,0,0,0,0,0,97,15.3209502148092,12,0,0,12,0
20200301,S12000050,North Lanarkshire,0,0,0,0,0,0,42,12.3033658493716,6,0,0,6,0
20200302,S12000005,Clackmannanshire,0,1,1.94024058983314,0,0,0,17,32.9840900271634,5,0,0,5,0
20200302,S12000006,Dumfries & Galloway,0,0,0,0,0,0,44,29.5579739352412,12,0,0,12,0
20200302,S12000008,East Ayrshire,0,0,0,0,0,0,14,11.4744693057946,1,0,0,1,0
20200302,S12000010,East Lothian,0,0,0,0,0,0,21,19.6096741058922,6,0,0,6,0
20200302,S12000011,East Renfrewshire,0,0,0,0,0,0,15,15.701873756935,3,0,0,3,0
20200302,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988,0,0,0,0,0
20200302,S12000014,Falkirk,0,0,0,0,0,0,36,22.3755360805519,8,0,0,8,0
20200302,S12000017,Highland,0,0,0,0,0,0,35,14.8411991688928,5,0,0,5,0
20200302,S12000018,Inverclyde,0,0,0,0,0,0,16,20.5655526992288,4,0,0,4,0
20200302,S12000019,Midlothian,0,0,0,0,0,0,20,21.6309755569976,7,0,0,7,0
20200302,S12000020,Moray,0,1,1.0436234606554,0,0,0,14,14.6107284491755,1,0,0,1,0
20200302,S12000021,North Ayrshire,1,1,0.742170105388155,0,0,0,22,16.3277423185394,5,1,20,5,0
20200302,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493,0,0,0,0,0
20200302,S12000026,Scottish Borders,0,0,0,0,0,0,33,28.5689550688252,3,0,0,3,0
20200302,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
20200302,S12000028,South Ayrshire,0,0,0,0,0,0,8,7.10416481662375,4,0,0,4,0
20200302,S12000029,South Lanarkshire,0,0,0,0,0,0,47,14.6632140517268,19,0,0,19,0
20200302,S12000030,Stirling,0,0,0,0,0,0,33,35.0281286487634,17,0,0,17,0
20200302,S12000033,Aberdeen City,0,0,0,0,0,0,50,21.8655704727336,15,0,0,15,0
20200302,S12000034,Aberdeenshire,0,0,0,0,0,0,45,17.227518088894,9,0,0,9,0
20200302,S12000035,Argyll & Bute,0,0,0,0,0,0,4,4.6582042622569,0,0,0,0,0
20200302,S12000036,City of Edinburgh,0,0,0,0,0,0,169,32.1947688263197,32,0,0,32,0
20200302,S12000038,Renfrewshire,0,0,0,0,0,0,33,18.4254606365159,12,0,0,12,0
20200302,S12000039,West Dunbartonshire,0,0,0,0,0,0,14,15.742718992466,6,0,0,6,0
20200302,S12000040,West Lothian,0,0,0,0,0,0,36,19.6613872200983,5,0,0,5,0
20200302,S12000041,Angus,0,1,0.860585197934596,0,0,0,31,26.6781411359725,12,3,25,12,0
20200302,S12000042,Dundee City,0,0,0,0,0,0,24,16.07286364854,2,0,0,2,0
20200302,S12000045,East Dunbartonshire,0,0,0,0,0,0,21,19.3298969072165,9,0,0,9,0
20200302,S12000047,Fife,0,0,0,0,0,0,84,22.4869495382144,15,0,0,15,0
20200302,S12000048,Perth & Kinross,0,0,0,0,0,0,34,22.3757815070747,5,0,0,5,0
20200302,S12000049,Glasgow City,0,0,0,0,0,0,134,21.1650240080869,46,0,0,46,0
20200302,S12000050,North Lanarkshire,0,0,0,0,0,0,52,15.2327386706506,13,0,0,13,0
20200303,S12000005,Clackmannanshire,1,2,3.88048117966628,0,0,0,20,38.8048117966628,6,2,33.3333333333333,6,0
20200303,S12000006,Dumfries & Galloway,0,0,0,0,0,0,54,36.2756952841596,8,0,0,8,0
